 masa A    
t x y θr ω 
0,000 0,110 -0,189 -59,74 
0,033 0,110 -0,189 -59,80 -1,7
0,067 0,110 -0,189 -59,85 -5,7
0,100 0,109 -0,190 -60,18 -16,9
0,133 0,107 -0,192 -60,98 -49,3
0,167 9,768E-2 -0,196 -63,47 -81,2
0,200 8,756E-2 -0,200 -66,39 -107,7
0,233 7,223E-2 -0,206 -70,65 -137,3
0,267 5,411E-2 -0,210 -75,54 -147,4
0,300 3,554E-2 -0,212 -80,47 -158,7
0,333 1,441E-2 -0,213 -86,12 -168,0
0,367 -6,145E-3 -0,211 -91,67 -169,3
0,400 -2,704E-2 -0,208 -97,41 -162,3
0,433 -4,502E-2 -0,203 -102,5 -156,6
0,467 -6,430E-2 -0,200 -107,8 -129,5
0,500 -7,473E-2 -0,193 -111,1 -98,4
0,533 -8,622E-2 -0,190 -114,4 -71,7
0,567 -9,073E-2 -0,187 -115,9 -29,0
0,600 -9,212E-2 -0,186 -116,3 10,1
0,633 -8,806E-2 -0,187 -115,2 43,8
0,667 -8,257E-2 -0,191 -113,4 74,0
0,700 -7,215E-2 -0,195 -110,3 106,9
0,733 -5,857E-2 -0,200 -106,3 131,7
0,767 -4,179E-2 -0,205 -101,5 149,6
0,800 -2,322E-2 -0,210 -96,32 168,5
0,833 -1,028E-3 -0,212 -90,28 174,8
0,867 1,988E-2 -0,213 -84,66 160,3
0,900 3,915E-2 -0,213 -79,59 149,6
0,933 5,769E-2 -0,211 -74,69 146,1
0,967 7,517E-2 -0,205 -69,86 129,3
1,000 8,898E-2 -0,201 -66,07 98,5
1,033 9,895E-2 -0,197 -63,29 68,6
1,067 0,105 -0,194 -61,50 18,2
1,100 0,102 -0,193 -62,07 -14,8
1,133 0,101 -0,194 -62,49 -7,1
1,167 0,101 -0,195 -62,54 -34,5
1,200 9,342E-2 -0,198 -64,79 -89,2
1,233 7,882E-2 -0,200 -68,49 -118,4
1,267 6,370E-2 -0,204 -72,68 -139,5
1,300 4,501E-2 -0,208 -77,79 -159,4
1,333 2,463E-2 -0,210 -83,31 -163,8
1,367 4,732E-3 -0,210 -88,71 -164,7
1,400 -1,560E-2 -0,208 -94,29 -172,1
1,433 -3,667E-2 -0,204 -100,2 -172,4
1,467 -5,624E-2 -0,199 -105,8 -148,6
1,500 -7,062E-2 -0,193 -110,1 -116,4
1,533 -8,179E-2 -0,188 -113,5 -88,5
1,567 -8,941E-2 -0,183 -116,0 -56,8
1,600 -9,350E-2 -0,181 -117,3 -22,1
1,633 -9,399E-2 -0,181 -117,5 14,7
1,667 -9,070E-2 -0,183 -116,3 51,6
1,700 -8,332E-2 -0,187 -114,0 89,6
1,733 -7,137E-2 -0,192 -110,4 115,7
1,767 -5,777E-2 -0,197 -106,3 134,4
1,800 -4,087E-2 -0,202 -101,4 155,0
1,833 -2,158E-2 -0,206 -95,97 175,0
1,867 8,986E-4 -0,209 -89,75 177,7
1,900 2,148E-2 -0,209 -84,13 168,7
1,933 4,216E-2 -0,207 -78,51 149,8
1,967 5,804E-2 -0,204 -74,14 129,4
2,000 7,345E-2 -0,200 -69,88 109,1
2,033 8,394E-2 -0,196 -66,87 84,1
2,067 9,301E-2 -0,193 -64,27 89,7
2,100 0,106 -0,190 -60,88 62,1
2,133 0,108 -0,189 -60,13 -0,5
2,167 0,106 -0,190 -60,92 -42,6
2,200 9,819E-2 -0,192 -62,97 -70,5
2,233 8,882E-2 -0,196 -65,62 -93,9
2,267 7,599E-2 -0,200 -69,23 -123,8
2,300 5,915E-2 -0,205 -73,87 -145,8
2,333 4,058E-2 -0,208 -78,95 -154,7
2,367 2,130E-2 -0,209 -84,18 -168,7
2,400 -7,068E-4 -0,209 -90,19 -172,3
2,433 -2,049E-2 -0,206 -95,67 -176,4
2,467 -4,278E-2 -0,202 -102,0 -163,8
2,500 -5,862E-2 -0,197 -106,6 -131,1
2,533 -7,220E-2 -0,191 -110,7 -115,2
2,567 -8,415E-2 -0,187 -114,3 -88,2
2,600 -9,158E-2 -0,183 -116,6 -48,8
2,633 -9,463E-2 -0,182 -117,5 -11,1
2,667 -9,397E-2 -0,182 -117,3 25,1
2,700 -8,931E-2 -0,184 -115,9 62,3
2,733 -8,050E-2 -0,188 -113,2 109,0
