 masa A    
t x y θr ω 
0,000 9,022E-2 -0,259 -70,80 
0,034 8,975E-2 -0,259 -70,87 -8,8
0,067 8,597E-2 -0,260 -71,68 -20,9
0,101 8,036E-2 -0,262 -72,96 -46,0
0,134 7,282E-2 -0,267 -74,75 -57,6
0,168 6,333E-2 -0,270 -76,79 -77,4
0,201 4,856E-2 -0,273 -79,91 -83,5
0,235 3,669E-2 -0,274 -82,36 -90,8
0,268 1,948E-2 -0,276 -85,96 -100,4
0,302 4,527E-3 -0,276 -89,06 -99,7
0,335 -1,259E-2 -0,276 -92,61 -102,5
0,369 -2,843E-2 -0,276 -95,89 -90,6
0,403 -4,160E-2 -0,273 -98,65 -80,9
0,436 -5,411E-2 -0,271 -101,3 -72,6
0,470 -6,439E-2 -0,268 -103,5 -59,3
0,503 -7,255E-2 -0,266 -105,2 -46,9
0,537 -7,896E-2 -0,265 -106,6 -31,5
0,570 -8,223E-2 -0,263 -107,3 -4,7
0,604 -7,999E-2 -0,263 -106,9 5,3
0,637 -8,067E-2 -0,264 -107,0 16,4
0,671 -7,541E-2 -0,266 -105,8 41,5
0,704 -6,790E-2 -0,268 -104,2 56,0
0,738 -5,808E-2 -0,271 -102,1 69,7
0,772 -4,606E-2 -0,273 -99,57 81,1
0,805 -3,232E-2 -0,275 -96,70 87,3
0,839 -1,823E-2 -0,278 -93,75 90,5
0,872 -3,231E-3 -0,278 -90,67 95,7
0,906 1,272E-2 -0,277 -87,37 95,9
0,939 2,771E-2 -0,276 -84,27 88,9
0,973 4,136E-2 -0,275 -81,45 83,3
1,006 5,434E-2 -0,272 -78,72 87,9
1,040 6,922E-2 -0,269 -75,59 77,4
1,074 7,853E-2 -0,266 -73,56 52,2
1,107 8,520E-2 -0,264 -72,11 19,3
1,141 8,447E-2 -0,264 -72,27 -6,2
1,174 8,348E-2 -0,265 -72,53 6,0
1,208 8,628E-2 -0,264 -71,87 -2,5
1,241 8,252E-2 -0,265 -72,69 -37,0
1,275 7,475E-2 -0,267 -74,34 -53,4
1,308 6,590E-2 -0,269 -76,25 -64,0
1,342 5,470E-2 -0,271 -78,60 -93,0
1,375 3,650E-2 -0,275 -82,45 -104,0
1,409 2,161E-2 -0,277 -85,53 -92,9
1,443 6,557E-3 -0,277 -88,65 -87,4
1,476 -6,560E-3 -0,276 -91,36 -85,7
1,510 -2,100E-2 -0,275 -94,36 -90,3
1,543 -3,550E-2 -0,274 -97,38 -84,5
1,577 -4,802E-2 -0,272 -100,00 -73,3
1,610 -5,871E-2 -0,270 -102,3 -59,2
1,644 -6,652E-2 -0,268 -103,9 -48,6
1,677 -7,400E-2 -0,267 -105,5 -39,4
1,711 -7,969E-2 -0,268 -106,6 -20,0
1,744 -8,097E-2 -0,267 -106,8 1,0
1,778 -7,943E-2 -0,268 -106,5 23,3
1,812 -7,299E-2 -0,267 -105,3 39,4
1,845 -6,652E-2 -0,269 -103,9 47,2
1,879 -5,840E-2 -0,271 -102,1 63,1
1,912 -4,657E-2 -0,273 -99,67 78,9
1,946 -3,319E-2 -0,275 -96,89 80,9
1,979 -2,070E-2 -0,277 -94,28 90,1
2,013 -4,242E-3 -0,277 -90,88 93,1
2,046 9,327E-3 -0,277 -88,07 85,2
2,080 2,320E-2 -0,276 -85,20 97,8
2,113 4,063E-2 -0,274 -81,55 93,8
2,147 5,316E-2 -0,272 -78,94 72,4
2,181 6,354E-2 -0,269 -76,73 60,5
2,214 7,215E-2 -0,268 -74,91 49,0
2,248 7,890E-2 -0,266 -73,46 13,9
2,281 7,666E-2 -0,267 -73,98 16,0
2,315 8,374E-2 -0,264 -72,39 20,8
2,348 8,289E-2 -0,264 -72,59 -14,1
2,382 7,939E-2 -0,265 -73,33 -29,6
2,415 7,354E-2 -0,266 -74,57 -45,8
2,449 6,505E-2 -0,269 -76,39 -57,5
2,482 5,556E-2 -0,271 -78,40 -90,6
2,516 3,657E-2 -0,275 -82,42 -98,0
2,550 2,452E-2 -0,276 -84,93 -82,3
2,583 1,010E-2 -0,277 -87,91 -88,9
2,617 -4,138E-3 -0,277 -90,85 -87,0
2,650 -1,801E-2 -0,277 -93,71 -82,1
2,684 -3,045E-2 -0,275 -96,33 -74,0
2,717 -4,149E-2 -0,273 -98,65 -66,5
2,751 -5,149E-2 -0,271 -100,8 -60,2
2,784 -6,045E-2 -0,269 -102,7 -53,3
2,818 -6,841E-2 -0,268 -104,3 -38,8
2,851 -7,280E-2 -0,267 -105,2 -17,8
2,885 -7,408E-2 -0,267 -105,5 -1,1
2,919 -7,319E-2 -0,267 -105,3 17,6
2,952 -6,833E-2 -0,267 -104,3 30,3
2,986 -6,365E-2 -0,269 -103,3 42,2
3,019 -5,524E-2 -0,271 -101,5 55,8
3,053 -4,608E-2 -0,273 -99,58 62,8
3,086 -3,535E-2 -0,275 -97,33 67,9
3,120 -2,450E-2 -0,277 -95,05 78,9
3,153 -1,005E-2 -0,278 -92,07 83,3
3,187 2,433E-3 -0,278 -89,50 83,4
3,221 1,690E-2 -0,277 -86,51 106,5
3,254 3,652E-2 -0,274 -82,40 115,2
3,288 5,282E-2 -0,267 -78,83 80,8
3,321 6,174E-2 -0,268 -77,02 23,9
3,355 6,134E-2 -0,271 -77,24 
3,388    
3,422 7,170E-2 -0,262 -74,69 
3,455 7,426E-2 -0,261 -74,13 6,1
3,489 7,357E-2 -0,261 -74,28 -11,9
3,522 7,064E-2 -0,262 -74,93 -28,4
3,556 6,479E-2 -0,263 -76,18 -40,1
3,590 5,833E-2 -0,265 -77,60 -53,9
3,623 4,816E-2 -0,267 -79,77 -63,9
3,657 3,842E-2 -0,268 -81,86 -66,8
3,690 2,729E-2 -0,270 -84,22 -73,6
3,724 1,529E-2 -0,270 -86,76 -86,8
3,757 -3,242E-5 -0,271 -90,01 -88,0
3,791 -1,242E-2 -0,271 -92,63 -78,1
3,824 -2,460E-2 -0,270 -95,21 -73,3
3,858 -3,539E-2 -0,268 -97,52 -78,5
3,891 -4,920E-2 -0,267 -100,4 -71,3
3,925 -5,771E-2 -0,265 -102,3 -44,2
3,959 -6,280E-2 -0,264 -103,4 -29,1
3,992 -6,656E-2 -0,263 -104,2 -15,1
4,026 -6,731E-2 -0,262 -104,4 -2,1
4,059 -6,715E-2 -0,262 -104,4 7,7
4,093 -6,512E-2 -0,263 -103,9 19,0
4,126 -6,156E-2 -0,265 -103,1 34,5
4,160 -5,461E-2 -0,266 -101,6 52,0
4,193 -4,540E-2 -0,268 -99,62 60,3
4,227 -3,576E-2 -0,269 -97,56 81,0
4,260 -1,993E-2 -0,270 -94,22 83,3
4,294 -9,517E-3 -0,271 -92,01 82,0
4,328 5,904E-3 -0,271 -88,75 88,8
4,361 1,847E-2 -0,270 -86,09 76,4
4,395 2,993E-2 -0,269 -83,66 70,4
4,428 4,055E-2 -0,268 -81,40 68,6
4,462 5,136E-2 -0,266 -79,08 58,8
4,495 5,879E-2 -0,265 -77,47 44,1
4,529 6,501E-2 -0,264 -76,14 31,4
4,562 6,860E-2 -0,263 -75,38 17,2
4,596 7,037E-2 -0,263 -74,99 11,0
4,629 7,187E-2 -0,262 -74,64 -5,3
4,663 6,873E-2 -0,263 -75,35 -23,8
4,697 6,466E-2 -0,264 -76,23 -35,1
4,730 5,788E-2 -0,265 -77,69 -51,3
4,764 4,880E-2 -0,267 -79,64 -58,2
4,797 3,977E-2 -0,268 -81,57 -65,1
4,831 2,837E-2 -0,269 -83,99 -75,4
4,864 1,611E-2 -0,270 -86,59 -78,3
4,898 3,746E-3 -0,271 -89,21 -74,1
4,931 -7,216E-3 -0,270 -91,53 -68,9
4,965 -1,787E-2 -0,269 -93,80 -67,7
4,999 -2,838E-2 -0,268 -96,04 -65,6
5,032 -3,831E-2 -0,267 -98,17 -60,1
5,066 -4,707E-2 -0,266 -100,0 -44,8
5,099 -5,205E-2 -0,264 -101,2 -33,2
5,133 -5,725E-2 -0,263 -102,3 -24,4
5,166 -5,964E-2 -0,263 -102,8 -9,3
5,200 -6,019E-2 -0,263 -102,9 3,4
5,233 -5,880E-2 -0,264 -102,6 
