 masa A    
t x y θr ω 
0,000 0,225 -0,162 -35,77 
0,033 0,217 -0,165 -37,24 -47,4
0,067 0,214 -0,173 -38,93 -59,1
0,100 0,207 -0,181 -41,18 -142,6
0,133 0,183 -0,206 -48,44 -208,8
0,167 0,158 -0,227 -55,10 -215,9
0,200 0,125 -0,244 -62,83 -241,7
0,233 8,796E-2 -0,259 -71,22 -269,3
0,267 4,352E-2 -0,268 -80,78 -282,4
0,300 -2,136E-4 -0,272 -90,05 -284,9
0,333 -4,614E-2 -0,268 -99,78 -282,1
0,367 -8,715E-2 -0,255 -108,8 -271,3
0,400 -0,126 -0,239 -117,9 -244,3
0,433 -0,155 -0,220 -125,1 -196,7
0,467 -0,176 -0,202 -131,0 -153,4
0,500 -0,189 -0,187 -135,4 -113,9
0,533 -0,197 -0,174 -138,6 -83,8
0,567 -0,206 -0,167 -140,9 -40,5
0,600 -0,209 -0,167 -141,3 15,9
0,633 -0,205 -0,172 -139,9 71,3
0,667 -0,190 -0,180 -136,5 112,9
0,700 -0,175 -0,192 -132,4 139,6
0,733 -0,162 -0,214 -127,2 163,8
0,767 -0,141 -0,230 -121,4 196,4
0,800 -0,110 -0,245 -114,1 255,1
0,833 -6,743E-2 -0,262 -104,4 
0,867    
0,900 1,290E-2 -0,274 -87,31 
0,933 5,562E-2 -0,268 -78,26 275,0
0,967 9,915E-2 -0,258 -68,97 243,7
1,000 0,130 -0,244 -62,02 213,0
1,033 0,160 -0,226 -54,78 194,3
1,067 0,182 -0,210 -49,07 147,5
1,100 0,197 -0,197 -44,95 114,4
1,133 0,209 -0,185 -41,44 81,5
1,167 0,216 -0,178 -39,51 33,0
1,200 0,217 -0,177 -39,24 -15,5
1,233 0,212 -0,181 -40,54 -51,8
1,267 0,206 -0,190 -42,69 -93,0
1,300 0,191 -0,203 -46,74 -144,6
1,333 0,169 -0,219 -52,33 -184,1
1,367 0,142 -0,237 -59,02 -206,2
1,400 0,112 -0,252 -66,07 -228,6
1,433 7,452E-2 -0,264 -74,26 -254,6
1,467 3,301E-2 -0,271 -83,05 -266,0
1,500 -9,425E-3 -0,271 -91,99 -263,4
1,533 -4,978E-2 -0,266 -100,6 -258,1
1,567 -8,862E-2 -0,255 -109,2 -238,9
1,600 -0,120 -0,239 -116,5 -206,1
1,633 -0,144 -0,223 -122,9 -176,4
1,667 -0,164 -0,207 -128,3 -153,0
1,700 -0,184 -0,196 -133,1 -115,6
1,733 -0,195 -0,188 -136,0 -58,2
1,767 -0,197 -0,183 -137,0 -4,4
1,800 -0,190 -0,181 -136,3 39,0
1,833 -0,183 -0,186 -134,4 72,4
1,867 -0,174 -0,197 -131,5 105,9
1,900 -0,161 -0,211 -127,4 146,2
1,933 -0,140 -0,226 -121,7 180,9
1,967 -0,114 -0,241 -115,3 202,5
2,000 -8,414E-2 -0,256 -108,2 223,7
2,033 -4,876E-2 -0,266 -100,4 237,5
2,067 -1,130E-2 -0,271 -92,38 243,0
2,100 2,755E-2 -0,271 -84,19 239,1
2,133 6,406E-2 -0,266 -76,44 238,9
2,167 0,102 -0,255 -68,26 223,3
2,200 0,131 -0,242 -61,56 185,6
2,233 0,155 -0,228 -55,89 158,9
2,267 0,174 -0,214 -50,96 138,6
2,300 0,190 -0,201 -46,65 104,1
2,333 0,199 -0,193 -44,02 49,0
2,367 0,199 -0,189 -43,38 8,2
2,400 0,199 -0,189 -43,47 -14,9
2,433 0,198 -0,194 -44,37 -56,8
2,467 0,188 -0,203 -47,26 -128,9
2,500 0,166 -0,220 -52,96 
2,533    
2,567 0,118 -0,249 -64,56 
2,600 8,545E-2 -0,261 -71,88 -228,8
2,633 4,847E-2 -0,270 -79,81 -255,4
2,667 5,148E-3 -0,271 -88,91 -265,7
2,700 -3,539E-2 -0,268 -97,52 -244,8
2,733 -7,123E-2 -0,262 -105,2 -223,7
2,767 -0,104 -0,252 -112,4 -196,0
2,800 -0,130 -0,241 -118,3 -174,2
2,833 -0,154 -0,227 -124,1 -146,2
2,867 -0,169 -0,216 -128,0 -98,5
2,900 -0,175 -0,204 -130,6 -53,7
2,933 -0,174 -0,196 -131,6 -19,7
2,967 -0,174 -0,194 -131,9 5,8
3,000 -0,172 -0,197 -131,2 39,8
3,033 -0,168 -0,205 -129,3 84,5
3,067 -0,154 -0,215 -125,6 106,2
