 masa A    
t x y θr ω 
0,000 0,181 -0,202 -48,14 
0,033 0,181 -0,201 -48,13 0,5
0,067 0,181 -0,201 -48,11 -11,0
0,100 0,178 -0,204 -48,86 10,5
0,133 0,179 -0,195 -47,41 22,4
0,167 0,178 -0,194 -47,37 -140,6
0,200 0,148 -0,226 -56,78 -209,6
0,233 0,129 -0,235 -61,34 -139,9
0,267 0,108 -0,244 -66,11 -171,3
0,300 7,873E-2 -0,254 -72,76 -212,5
0,333 4,493E-2 -0,262 -80,27 -215,7
0,367 1,320E-2 -0,264 -87,14 -223,3
0,400 -2,381E-2 -0,264 -95,16 -226,4
0,433 -5,548E-2 -0,256 -102,2 -210,8
0,467 -8,636E-2 -0,248 -109,2 -187,7
0,500 -0,109 -0,237 -114,7 -152,9
0,533 -0,128 -0,227 -119,4 -149,4
0,567 -0,151 -0,217 -124,7 -128,9
0,600 -0,164 -0,210 -128,0 -69,5
0,633 -0,169 -0,206 -129,3 -12,3
0,667 -0,165 -0,205 -128,8 40,8
0,700 -0,154 -0,207 -126,6 66,2
0,733 -0,146 -0,212 -124,4 56,4
0,767 -0,143 -0,221 -122,9 86,5
0,800 -0,126 -0,231 -118,6 146,3
0,833 -0,103 -0,241 -113,1 168,9
0,867 -7,827E-2 -0,250 -107,4 181,4
0,900 -5,013E-2 -0,257 -101,0 192,9
0,933 -2,075E-2 -0,262 -94,52 198,9
0,967 1,030E-2 -0,264 -87,76 200,6
1,000 4,068E-2 -0,261 -81,15 198,8
1,033 7,081E-2 -0,256 -74,51 196,7
1,067 9,940E-2 -0,246 -68,04 173,2
1,100 0,121 -0,238 -62,97 143,9
1,133 0,140 -0,228 -58,45 108,0
1,167 0,150 -0,220 -55,77 77,3
1,200 0,159 -0,213 -53,29 56,8
1,233 0,164 -0,210 -51,98 22,1
1,267 0,165 -0,210 -51,82 -15,0
1,300 0,161 -0,213 -52,98 -46,0
1,333 0,154 -0,220 -54,89 -82,9
1,367 0,140 -0,228 -58,51 -136,2
1,400 0,118 -0,241 -63,97 -161,9
1,433 9,508E-2 -0,252 -69,30 -180,0
1,467 6,467E-2 -0,259 -75,97 -204,7
1,500 3,252E-2 -0,263 -82,95 -197,7
1,533 3,989E-3 -0,268 -89,15 -190,5
1,567 -2,644E-2 -0,267 -95,65 
1,600    
1,633 -8,399E-2 -0,252 -108,4 
1,667    
1,700 -0,122 -0,232 -117,8 
1,733    
1,767 -0,146 -0,218 -123,8 
1,800 -0,147 -0,214 -124,5 -14,0
1,833 -0,147 -0,212 -124,7 -16,3
1,867 -0,153 -0,214 -125,6 13,1
1,900 -0,147 -0,220 -123,9 89,1
1,933 -0,129 -0,227 -119,6 139,2
1,967 -0,107 -0,233 -114,6 144,0
2,000 -8,811E-2 -0,242 -110,0 136,2
2,033 -7,045E-2 -0,254 -105,5 146,9
2,067 -4,711E-2 -0,261 -100,2 176,4
2,100 -1,733E-2 -0,264 -93,75 190,7
2,133 1,155E-2 -0,265 -87,51 185,4
2,167 3,994E-2 -0,264 -81,39 176,9
2,200 6,616E-2 -0,260 -75,72 178,3
2,233 9,377E-2 -0,251 -69,51 168,8
2,267 0,116 -0,243 -64,46 131,0
2,300 0,132 -0,236 -60,78 109,2
2,333 0,147 -0,228 -57,18 82,1
2,367 0,154 -0,223 -55,31 50,5
2,400 0,161 -0,219 -53,82 22,5
2,433 0,161 -0,219 -53,81 -5,9
2,467 0,160 -0,221 -54,21 -41,3
2,500 0,150 -0,227 -56,56 -106,1
2,533 0,129 -0,236 -61,28 -146,3
2,567 0,107 -0,243 -66,31 -138,9
2,600 8,955E-2 -0,253 -70,54 -147,5
2,633 6,431E-2 -0,261 -76,14 -182,3
2,667 3,393E-2 -0,265 -82,69 -188,3
2,700 6,092E-3 -0,267 -88,69 -187,3
2,733 -2,408E-2 -0,266 -95,18 -187,7
2,767 -5,173E-2 -0,261 -101,2 -181,2
2,800 -7,878E-2 -0,254 -107,3 -162,5
